date,home_team,away_team,home_shots_target,away_shots_target,season,target,home_goals_avg,home_goals_conceded_avg,home_form,home_days_rest,away_goals_avg,away_goals_conceded_avg,away_form,away_days_rest,home_rang,away_rang,h2h_home_win_rate,h2h_draw_rate,h2h_n_matches,home_rank_norm,away_rank_norm,classement_diff,goals_diff,defense_diff,form_diff,fatigue_diff,home_attack_vs_away_def,away_attack_vs_home_def,y_true,y_pred,correct,prob_dom,prob_nul,prob_ext,confidence,error
2023-11-25,Clermont,Lens,4.0,10.0,2324,0,0.6149165092300823,0.831129095255365,9.0,13.0,1.0650488047816271,0.6324834383852554,15.0,13.0,4,3,0.0,0.25,4,0.1578947368421052,0.1052631578947368,-0.0526315789473684,-0.4501322955515447,-0.1986456568701096,-6.0,0.0,0.972225471705596,1.2814481057896188,0,0,True,0.1821985,0.11214034,0.7056612,0.7056612,False
2023-11-25,Strasbourg,Marseille,7.0,3.0,2324,1,0.6361383800401355,1.3243592409752811,9.0,20.0,0.8618281112729983,1.135137900108072,10.0,13.0,2,1,0.0,0.4545454545454545,11,0.0526315789473684,0.0,-0.0526315789473684,-0.2256897312328628,-0.189221340867209,-1.0,-7.0,0.5604062554686714,0.6507510081919564,1,2,False,0.50161815,0.22935437,0.26902747,0.50161815,True
2023-11-26,Nantes,Le Havre,3.0,0.0,2324,1,1.395458270780328,1.9582679988296825,14.0,14.0,0.7567881844348571,0.8222608167342504,14.0,15.0,6,12,0.45,0.26,0,0.2631578947368421,0.5789473684210527,0.3157894736842105,0.638670086345471,-1.1360071820954318,0.0,1.0,1.697099317370648,0.3864579234747928,1,1,True,0.4820399,0.494262,0.023698106,0.494262,False
2023-11-26,Lyon,Lille,5.0,8.0,2324,0,0.8847730128701364,1.5464802911708435,7.0,14.0,1.1502770613259412,0.8022546891895079,16.0,14.0,1,3,0.125,0.4375,16,0.0,0.1052631578947368,0.1052631578947368,-0.2655040484558048,-0.7442256019813358,-9.0,0.0,1.102858013536816,0.7438032465677683,0,0,True,0.09304902,0.23703288,0.6699181,0.6699181,False
2023-11-26,Rennes,Reims,5.0,5.0,2324,2,0.8748374272878113,1.436805620166605,8.0,14.0,1.203776332569703,1.294858059096778,17.0,15.0,4,7,0.25,0.25,12,0.1578947368421052,0.3157894736842105,0.1578947368421052,-0.3289389052818917,-0.1419475610698271,-9.0,1.0,0.6756241899579711,0.8378143262204939,2,1,False,0.2645874,0.45011997,0.28529257,0.45011997,True
2023-11-26,Nice,Toulouse,3.0,3.0,2324,2,1.0474651140133402,0.1468696660597063,24.0,16.0,0.9901323427693892,1.4299783657445608,8.0,14.0,2,8,0.4166666666666667,0.4166666666666667,12,0.0526315789473684,0.3684210526315789,0.3157894736842105,0.0573327712439509,1.2831086996848544,16.0,-2.0,0.7325041686682765,3.300441142564631,2,1,False,0.41497022,0.44038516,0.14464459,0.44038516,True
2023-11-26,Montpellier,Brest,5.0,5.0,2324,0,1.1424972892256933,1.1327739588618522,12.0,16.0,0.7611007040456484,1.231157757196178,12.0,21.0,5,11,0.5714285714285714,0.2857142857142857,7,0.2105263157894736,0.5263157894736842,0.3157894736842105,0.3813965851800448,0.0983837983343258,0.0,5.0,0.9279861029569444,0.6718910671378426,0,2,False,0.39878598,0.29061127,0.31060272,0.39878598,True
2023-11-26,Lorient,Metz,5.0,5.0,2324,0,1.1556348230136333,1.7766018555836849,9.0,14.0,0.9758086021251636,1.1020586238696073,12.0,14.0,9,10,0.5,0.1666666666666666,6,0.4210526315789473,0.4736842105263157,0.0526315789473684,0.1798262208884695,-0.6745432317140774,-3.0,0.0,1.0486146544145776,0.5492556472674468,0,1,False,0.3238317,0.39329043,0.28287783,0.39329043,True
2023-11-29,Montpellier,Clermont,10.0,1.0,2324,1,0.9676455804668352,1.426564549533193,9.0,3.0,0.5534248583070741,1.1015501790085915,9.0,4.0,1,2,0.5,0.25,4,0.0,0.0526315789473684,0.0526315789473684,0.414220722159761,-0.3250143705246013,0.0,1.0,0.8784398558563422,0.3879423882278361,1,2,False,0.85060036,0.13689253,0.012507112,0.85060036,True
2023-12-01,Reims,Strasbourg,4.0,3.0,2324,2,1.0763307127552066,1.5724402397446269,14.0,5.0,0.7260585353148848,1.1848553303202272,10.0,6.0,1,2,0.3,0.4,10,0.0,0.0526315789473684,0.0526315789473684,0.3502721774403218,-0.3875849094243995,4.0,1.0,0.9084068621814868,0.4617399866546285,2,2,True,0.4769596,0.2999061,0.2231343,0.4769596,False
2023-12-02,Lens,Lyon,7.0,7.0,2324,2,1.3656119108609903,0.4086331147104409,18.0,7.0,0.7427617183043599,1.4847642754962334,7.0,6.0,4,1,0.1666666666666666,0.3333333333333333,6,0.1578947368421052,0.0,-0.1578947368421052,0.6228501925566304,1.0761311607857924,11.0,-1.0,0.9197499787665484,1.817673829079378,2,2,True,0.35385907,0.32366517,0.32247576,0.35385907,False
2023-12-02,Nantes,Nice,4.0,6.0,2324,2,1.0953104638660067,1.6018392191104251,14.0,6.0,1.096252595890769,0.1321826994537357,26.0,6.0,3,2,0.2,0.3333333333333333,15,0.1052631578947368,0.0526315789473684,-0.0526315789473684,-0.0009421320247622,-1.4696565196566895,-12.0,0.0,3.651034879553356,0.6843711795866556,2,0,False,0.073107086,0.46022004,0.46667293,0.46667293,True
2023-12-03,Lille,Metz,6.0,4.0,2324,2,1.2887833484721103,0.5078932471555053,19.0,7.0,1.2852957284701731,1.2989207480401723,12.0,7.0,4,9,0.4444444444444444,0.3333333333333333,9,0.1578947368421052,0.4210526315789473,0.2631578947368421,0.0034876200019371,0.791027500884667,7.0,0.0,0.9921955211021476,2.530641499308308,2,2,True,0.4219098,0.4141529,0.16393732,0.4219098,False
2023-12-03,Toulouse,Lorient,6.0,5.0,2324,1,0.8911191084924504,1.333446535891342,8.0,7.0,1.133003354154744,2.0060096565828425,6.0,7.0,7,8,0.3333333333333333,0.5,6,0.3157894736842105,0.3684210526315789,0.0526315789473684,-0.2418842456622936,0.6725631206915006,2.0,0.0,0.4442247351941646,0.849680376122008,1,2,False,0.39919546,0.37687674,0.22392781,0.39919546,True
2023-12-03,Marseille,Rennes,2.0,0.0,2324,2,0.8221113068669356,1.0680901168185022,10.0,8.0,1.140887677837793,1.3395910648711815,10.0,7.0,3,5,0.4375,0.25,16,0.1052631578947368,0.2105263157894736,0.1052631578947368,-0.3187763709708574,0.2715009480526793,0.0,-1.0,0.6137031878052963,1.068156759315526,2,1,False,0.41881916,0.5493218,0.031859048,0.5493218,True
